Brand_Name,Item_Name,Number_Likes,Condition,Color,Size,Price,Img_Length,Measurements,Description
Reese Cooper,Reese Cooper Fever Dream paint splatter carpenter pants,67,Gently Used,Black,32,$259 ,10,FALSE,"Reese Cooper Washed Black Denim Paint Splatter Carpenter pants from Fever Dream collection
Size tag says 32 but fits like 33 waist. Barely worn"
Reese Cooper,Panelled Nylon Sport Trouser Reece Cooper,26,Gently Used,Green,34,$135 ,5,TRUE,"Work once and cared for by instructions
Basically new"
Reese Cooper,<U+0001F525>[SALE]<U+0001F525> Reese Cooper Flags Joggers Brown Sweatpants,11,New,Brown,34,$194 ,16,TRUE,"<U+30FD>`<U+3001><U+30FD>``<U+3001><U+30FD>`<U+30FD>`<U+3001><U+3001><U+30FD> `<U+30FD> <U+3001><U+3001><U+3001><U+30FD> `
<U+30FD>`<U+30FD>`<U+30FD><U+30FD>`<U+3001><U+30FD>`<U+0001F319>`<U+3001><U+30FD>```<U+30FD>`<U+3001><U+30FD><U+3001>
<U+3001><U+30FD> <U+3001>``<U+3001> `<U+3001>` <U+3001>` <U+30FD>`<U+30FD><U+3001><U+30FD> ` <U+3001>`<U+30FD>
`<U+3001><U+30FD>``<U+3001><U+30FD>DARKLY STORE<U+3001>`<U+3001><U+30FD>``<U+3001><U+3001>
<U+3001><U+30FD><U+30FD>`<U+3001>`<U+3001><U+3001><U+30FD><U+30FD><U+3001>``<U+3001> <U+3001> <U+30FD><U+3001><U+3001>``<U+3001>
<U+30FD>``<U+3001><U+30FD>`<U+30FD>`<U+3001><U+3001><U+30FD> `<U+3001> <U+3001><U+30FD>`<U+3001><U+30FD> `<U+3001> <U+3001>
`<U+30FD><U+3001>``<U+30FD>`<U+3001><U+3001><U+30FD><U+0001F6B6><U+0001F3FB><U+200D><U+2642><U+FE0F><U+3001><U+30FD><U+30FD>`<U+30FD><U+3001><U+3001><U+3001><U+30FD><U+3001><U+3001>
_____________________________________________
<U+2757><U+FE0F>CHECK MEASUREMENTS AND ALL PHOTOS BEFORE MAKING PURCHASE.
<U+2757><U+FE0F>NO RETURNS, EXCHANGES OR REFUNDS.
<U+2757><U+FE0F>A BUYER ARE RESPONSIBLE FOR READING FULL ITEM LISTING BEFORE MAKING THE PURCHASE.
<U+2757><U+FE0F>PURCHASING THIS ITEM A BUYER AGREE WITH RULES, LOOKED THROUGH ALL PHOTOS, KNOW ALL MEASUREMENTS AND DON’T HAVE ANY COMPLAINTS REGARDING SIZING.
_____________________________________________
<U+0001F53D>PRICE<U+0001F53D>

<U+0001F525>$380 is Retail Price<U+0001F525>
<U+0001F525>$185 is Price of Our Shop<U+0001F525>
Your Extra Benefit:
-You can request 1 day shipping for $25
<U+25FE>LAST ONE ITEM<U+25FE>
<U+0001F525>Don't miss an opportunity to buy it NOW. Or someone else will buy it<U+0001F525>
<U+0001F53D>DESCRIPTION<U+0001F53D>
New with Tags
100% authentic and genuine.
Size Large/US34
<U+0001F53D>MEASURMENTS<U+0001F53D>
For better understanding measurements, measure your basic similar item by the same way we measured (pics of measurements are in the listing) and compare measurements with our.
<U+0001F53D>SHIPPING <U+0001F53D>
<U+25FE>UPON REQUEST AND ADDITIONAL<U+25FE>
$25 - 1 day delivery via DHL/FedEx - only US
Text me that you want 1 day delivery and i’ll offer you total price.
<U+0001F53D>NOTES <U+0001F53D>
<U+25AA><U+FE0F>All items will be marked as a «Gift». I will indicate a lower item value on the custom form.
<U+25AA><U+FE0F>There may be any delays in delivery.
<U+25AA><U+FE0F>Ask any questions BEFORE sending offers.
<U+25AA><U+FE0F>No returns, exchanges or refunds. Check the measurements, ask questions beforehand;
<U+25AA><U+FE0F>All the measurements are approximate (+/- 2 inch)
<U+0001F525><U+0001F525><U+0001F525>Trusted shop! Buy with confidence."
Reese Cooper,Reese Cooper Lightweight Cotton Cargo Pants,12,Gently Used,Green,36,$100 ,11,TRUE,"Worn twice, and wash delicately twice, these pants are still in great condition. No tears, rips, damage, stains or smells.
The Reese Cooper Lightweight Cotton Cargo Pants are a size 36 in Men's and the color is a cargo/Forrest green.
Pants are all cotton but feel a bit like linen which why it seems wrinkly
No Refunds Please Be Careful & Look Through All Photos Along With The Description When Purchasing.
Will Ship Through UPS For A Fast & Timely Manner
No International Shipping, US Only"
Reese Cooper,Reece Cooper black nylon cargo shorts,31,Used,Black,28,$125 ,4,TRUE,"Reese Cooper nylon shorts
size 28, waist measures 12” & stretches to 15”
4 back pockets, 2 cargo pockets w rear zip pockets, & 2 front pockets. whole lotta pockets.
Cargo pockets hang slightly longer than seam, similar to Ricks.
All items are shipped priority (USPS). $50 insurance included, any additional insurance requests will be at customer’s expense.
No international shipping.
No refunds, No returns."
Levi's × Reese Cooper,Levi’s x Reese Cooper Levi’s Straight Pant,47,Gently Used,Blue,30,$150 ,8,FALSE,"Size 30 x 34 straight leg Levi’s collab with Reese cooper in brilliant condition
Message me with any questions or offers"
Levi's × Reese Cooper,Reece Cooper x Levi’s green denim,24,Gently Used,Green,28,$100 ,5,TRUE,Still in like new/gently used condition. Worn a handful of times. Bought from Reece Cooper a couple months ago.
Reese Cooper,Reese Cooper Fever Dream Splatter Paint Denim,2,Gently Used,Charcoal,30,$190 ,9,TRUE,"Gently Used 9/10
Labelled 30 but honestly fit more like a 31
Worn these a couple times. Reese Cooper painted denim. Very cool and pretty much new. Believed these retailed for $400 so getting a good deal here.
Carpenter pocket.
See pics for details."
Reese Cooper,Reese Cooper Ripstop Cargo Shorts 'Orange',13,Gently Used,Orange,32,$105 ,8,TRUE,"Reese Cooper Ripstop Cargo Shorts 'Orange'
Size medium
Worn once
OPEN TO OFFERS, PLEASE MESSAGE"
Reese Cooper,Stamp Print Cotton Canvas Cargo Trousers,1,Gently Used,Tan,32,$195 ,4,TRUE,Love these pants just don’t wear them as much anymore. Only kicker is that the latch on the zipper broke off. So the pants still zip up but there isn’t something to help pull it. Clean with no stains.
Reese Cooper,REESE COOPER BRUSHED COTTON CANVAS CARGO PANTS,13,Used,Black,36,$80 ,5,TRUE,"Worn but no visible flaws/stains, still in great condition. These have strings on the cargo pockets on the back which give it a unique look."
Reese Cooper,Reese Cooper Cargo Work Shorts,18,Gently Used,Black,28,$147 ,9,TRUE,"UNFORTUNATELY NO MORE DROPS
/ NO MORE OFFERS
Priced to sell <U+0001F91F><U+0001F601>
Really insane quality cargo shorts.
Comes with tags. Measurements from the RCI site are in the photos above^
Hmu if you have any questions <U+2728>"
Reese Cooper,SS21 Reese Cooper RCI Denim Jeans,13,New,Navy,30,$98 ,4,TRUE,"30x30
From the Spring/Summer 21 “River Run
Through” Collection
Minimal/Grail Wear
Like New Condition
Carabiner Clip Still attached including buttons
Offer"
Levi's × Reese Cooper,Reese Cooper x levis canvas straight fit pants,1,Gently Used,Forest green,30,$125 ,8,FALSE,An interesting material switch up instead of denim there’s a heavyweight canvas. Cool Reese Cooper details throughout. Size 30x34 8/10 condition. As is
Reese Cooper,Reese Cooper AW 21 Printed Cargo Pant,1,Gently Used,Green,30,$160 ,4,TRUE,"Reese Cooper AW 21 Printed Cargo Pant
Size 30
Worn Once
Great workwear piece
Message me with any offers or questions!"
Reese Cooper,COTTON HERRINGBONE CARGO PANT,5,New,Black,32,$234 ,12,TRUE,"Brand new with tags. Size 32. Retail: $628
An RCI staple, the Cotton Herringbone Cargo Pant, returns this season featuring cargo pockets throughout and the RCI signature hook detail is finished at the waistband. Our favorite feature is the adjustable velcro at the ankle allowing you to accommodate any shoe shape.
Zipper fly
Raccagni zipper
Button closure
Welt hand pockets on front
Welt pockets with flap on back
Cargo pockets with flap and snap closure throughout
Panelling in knee
Adjustable velcro strap on ankle
RCI signature hook detail on waistband
Made in Los Angeles, CA"
Reese Cooper,Reece Cooper Cotton Cargo Pants sz 35,1,Used,White,35,$100 ,7,TRUE,"Reece Cooper Cotton Cargo Pants
cond. 8/10
Size 35”
$100 obo"
Reese Cooper,Herringbone Cotton Cargo Pants,18,Gently Used,Coyote,30,$195 ,11,TRUE,"REESE COOPER
Brown Herringbone Cotton Cargo Pants
Herringbone cotton trousers.
Condition 9,5/10, worn for 3 times
· Button-fly
· Belt loops and signature lanyard-clasp hardware at waistband
· Nine-pocket styling
· Pleats at knees
· Velcro tabs at cuffs
· Reinforced panel at inseam
· Logo-engraved silver-tone hardware
Supplier color: Coyote
100% cotton.
Made in United States"
Reese Cooper,Reese Cooper Cotton Cargo Shorts in Khaki,7,New,Khaki,30,$150 ,6,TRUE,"Condition: Brand New
Size: 30
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper"
Reese Cooper,REESE COOPER special project ss22 RCI BASE CAMP sweatpants,23,Gently Used,Black,32,$90 ,6,TRUE,"read first before buy
can do ship worldwide
buy it or offer your price
Reese Cooper special project ss22 RCI BASE CAMP sweat pants
size medium on tag garterized fits 30-32 mens waistline
still in presentable and prestine condition
no flaws only sign of use
see picture details posted
feel free to ask questions just dm me
payment accepted paypal only
shipping via DHL express 3-5 days only
no delays
thank you and happy shopping…"
Reese Cooper,Outdoor Supply Waxed Cotton Pant in Green,23,New,Green,32,$128 ,7,TRUE,Really cool lightweight piece. I bought this from the official site. wish I could wear it but it’s too small for me. It says it’s size 34 but it fits like a 32 !
Reese Cooper,Reese Cooper Cotton Cargo Shorts in Khaki,5,New,Khaki,34,$150 ,6,TRUE,"Condition: Brand New
Size: 34
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper"
Reese Cooper,Reese Cooper Brown Hitch hiking cargo pants size 32,32,Gently Used,Brown,32,$60 ,3,TRUE,"Size 32
Worn a handful of times excellent condition"
Reese Cooper,Reese Cooper Cargo Short,38,New,Black,30,$145 ,5,TRUE,"-Reese Cooper Cargo Shorts in Black. Size 30.
-Great Quality shorts as with all Reese Cooper pieces.
-FAST shipping immediately after purchase with USPS MAIL & Tracking. *Shipping within the USA only*
-tags have been removed
-No refunds or returns."
Reese Cooper,Reese cooper cargo 34,7,Gently Used,Orange,34,$67 ,3,TRUE,"Orange color
Worn 2x times
Great color
Great hardware"
Reese Cooper,"Final drop, repost in 72hrs COORDINATE JEANS",27,Gently Used,Blue,34,$129 ,5,TRUE,"Worn a few times but have zero flaws
Can fit a 36 imo
Grab a sweet pair of denim from an early Reese Cooper collection!
Open to offers but plz don’t lowball"
Reese Cooper,Reese Cooper Sweatpants,2,Gently Used,Black,32,$90 ,5,FALSE,"Only worn a few times.
Baggy fit with 3 pockets plus cargo pocket on leg."
Reese Cooper,Reese Cooper SS21 Black Pintuck Trousers,13,Gently Used,Black,32,$180 ,10,TRUE,"Straight-leg brushed cotton canvas trousers in black. Mid-rise. Five-pocket styling. Belt loops and lanyard clasp hardware at waistband. Pleated pintucks at front and back legs. Button-fly. Silver-tone hardware. No signs of wear.
Message me with any questions!"
Reese Cooper,Nylon Cargo Shorts Green,22,New,Green,27,$108 ,4,TRUE,"Reese Cooper
Nylon Cargo Shorts
Green
New w/o tags
originally $325"
Levi's × Levi's Vintage Clothing × Reese Cooper,Reese Cooper X Levi Straight fit denim jeans,7,Gently Used,Blue,36,$200 ,5,TRUE,"Size 36, worn twice, only 1 on Grailed in this size
Cottonized Hemp
Button fly closure
Two patch hand pockets on front
Two patch pockets on back
RCI signature hook detail on waistband
RCI x Levi’s Tab on back right pocket
RCI x Levi’s back patch on back waistband
Triple-needle stitching throughout
RCI x Levi’s metal buttons throughout
RCI embroidery on front right knee
Blowout on front right knee
Produced by Levi’s
Made in Turkey
Dm for any questions / concerns :)"
Levi's × Reese Cooper,Levis Reese Cooper Straight Denim Jeans,23,New,Navy,32,$180 ,6,FALSE,brand new with tags
Reese Cooper,Reese Cooper RCI Forest Service Sweats,1,Gently Used,Black,32,$125 ,7,FALSE,"Size M
9/10 Condition"
Reese Cooper,Reese Cooper Paneled Sport Pant,8,Gently Used,Black,34,$130 ,4,FALSE,Worn Twice Retail $578
Reese Cooper,Grey trail shorts M,16,New,Grey,32,$87 ,4,FALSE,"Imagine being on a trail.
And you see.
Gorilla da spinna <U+0001F98D>
Gorilla da spinna <U+0001F98D>
Gorilla da spinna <U+0001F98D>
Orangtuan a banging on my chest <U+0001F9A7>
Orangtuan a banging on my chest <U+0001F9A7>
Orangtuan a banging on my chest <U+0001F9A7>
Only possible In these shorts. Get em whole they’re in.
Ships next day as always <U+2764><U+FE0F><U+0001FAF6><U+0001F3FC>"
