"","brand_name","item_name","number_likes","condition","color","size","price","img_length","measurements","description"
"35","Reese Cooper","Reece Cooper // Wilson Boots SEND OFFERS","22","Condition Gently Used","Color Beige","Size Men's / US 11.5 / EU 44-45","$296",6,FALSE,"Reece Cooper // Wilson Boots SEND OFFERS
8/10
Great Condition
No Wear On Soles
Offer Away"
"36","Reese Cooper","Reese Cooper Wilson Boots","68","Condition Gently Used","Color Black","Size Men's / US 11 / EU 44","$411",5,FALSE,"-Pretty much new but I don’t wear them as much as I thought I would.
-Comes with box and extra laces!
•Green Laces
•Cream Laces
-Size 44 EU / US 11"
"37","Reese Cooper","Reese Cooper Wilson Boot Black Ballistic Nylon","16","Condition Used","Color Black","Size Men's / US 13 / EU 46","$350",7,FALSE,"• Vibram sole
• Ballistic nylon upper
• Rubberised coating covering the seam connecting sole & upper
• Full leather lining
• RCI insole
• 3 lace options included
• Double speed hooks
• RCI ankle lace eyelet detail
• MADE IN ITALY
Worn lightly, send offers willing to negotiate"
"38","Reese Cooper","Reese Cooper Wilson Boot","18","Condition New","Color Beige","Size Men's / US 7.5 / EU 40-41","$365",9,FALSE,"New with laces, bandana, and dust bag.
Just tried on and but it’s too narrow for my foot
Pristine condition.
Offer up."
"39","Reese Cooper × Vibram","Reese Cooper Wilson Boot","83","Condition Gently Used","Color Tan","Size Men's / US 11 / EU 44","$480",5,FALSE,"Comes with extra laces and dust bag
Message me if you have any questions"
"40","Reese Cooper","Reese Cooper Wilson Boots","45","Condition Gently Used","Color Brown","Size Men's / US 8 / EU 41","$495",8,FALSE,"All terrain boots. Sold out online.
• Vibram sole
• Italian suede upper
• Rubberised coating covering the seam connecting sole & upper
• Full leather lining
• RCI insole
• 3 lace options included. Brown, Yellow, and Green.
• Double speed hooks
• RCI ankle lace eyelet detail
• MADE IN ITALY
These will probably age beautifully. I'm not getting enough wear from these to justify keeping them tho :/"
"41","Reese Cooper","Reese Cooper Wilson Boot","25","Condition Gently Used","Color Beige","Size Men's / US 9 / EU 42","$415",8,FALSE,"Reese Cooper Wilson Boot
Sz 42 (fits sz US 9 best)
Vibram sole
9.5 / 10 Condition
Have all OG Box & Laces
DM Offers
Looking to move quickly!"
"42","Reese Cooper","WILSON BOOT - BEIGE SUEDE","23","Condition New","Color Beige suede","Size Men's / US 8 / EU 41","$400",8,FALSE,"Currently available on Reese Cooper's website for $598 + applicable tax/shipping.
Made in Italy with Italian suede, leather lining, and a heavy-duty Vibram sole. A 41 is listed as an 8 1/4, per their site. I would say these would fit a TTS 8.5 / 9.
Shoes have never been worn. Partial indents in the suede from the laces due to storage. The box is slightly damaged.
Includes dust bag and two extra sets of laces.
Will be shipped double-boxed to the US ONLY via USPS Priority Mail.
No returns/cancellations. Let me know if you have any questions or need more pictures, thanks!"
"43","Reese Cooper","Black wilson boots","13","Condition Gently Used","Color Black","Size Men's / US 9 / EU 42","$300",4,FALSE,"gently used, no flaws"
"44","Reese Cooper × Vibram","Reese Cooper Wilson Boot","9","Condition Gently Used","Color Tan","Size Men's / US 10 / EU 43","$480",4,FALSE,"Worn literally once, no major flaws
Comes with extra laces and dust bag
I’m usually a US 10-10.5 and these fit me perfectly
Message me if you have any questions"
"45","Reese Cooper","Reese Cooper Wilson Boot Beige/tan","38","Condition Gently Used","Color Tan","Size Men's / US 7.5 / EU 40-41","$330",7,FALSE,"Size 40
Worn 1x
OG All
Price firm"
"46","Reese Cooper","Wilson Boot","4","Condition Gently Used","Color Beige","Size Men's / US 6 / EU 39","$325",4,FALSE,"RCI Wilson Boot in Beige Suede
bought pre-order from rci, OG ALL
38 / 6 M / 7.5 W"
"47","Reese Cooper","Lowa Hiking Boots w/ Vibram Sole","10","Condition Gently Used","Color Brown","Size Men's / US 9 / EU 42","$95",7,FALSE,"Gently used Lowa Hiking boots with vibram sole. Retail for $289. Reminds me of the Reese Cooper and Heliot Emil hiking boot
Size 9
ALL SALES FINAL
NO RETURNS"
